Playlist Title,"Akensile Soundtrack Inspiration 🧙"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkQLGVu9IqO8zJFawu5FCMPn"

Title,Channel,Published,URL
"Ｍｒ Ｓａｎｄｍａｎ ~ ＳＹＭＬ {Ｓｌｏｗｅｄ}","Lol ita","24/05/2019",https://www.youtube.com/watch?v=drjFKyhpcJc
"Pan's Labyrinth Lullaby (Music Box Cover, Extended Version, Movie Soundtrack) [Creepy Horror Music]","The Wild Conductor","18/03/2017",https://www.youtube.com/watch?v=yyZeCYEF5Zg
"Yair Albeg Wein & Or Kribos – Mephisto’s Lullaby (Xtortion Audio – Epic Halloween Music/Dark Vocal)","Epic Music Mania","15/10/2018",https://www.youtube.com/watch?v=ipCIlaij39E
"Most Epic Battle Music Ever: ""Deadwood"" — Really Slow Motion","HDSounDI","02/05/2016",https://www.youtube.com/watch?v=LO3LZohKCnE
"Suffragette (UK) Trailer song - TRILLS ‘Oh Freedom’","TRILLS","25/08/2015",https://www.youtube.com/watch?v=qso7pIhSzRA
"Billie Eilish - COPYCAT (Official Audio)","BillieEilishVEVO","14/07/2017",https://www.youtube.com/watch?v=ebb5AinKxWI
"Moon River - Andy Williams","OmarProductions2009","04/08/2009",https://www.youtube.com/watch?v=L_jgIezosVA
"Nero Sighted","Michael Giacchino - Topic","29/09/2018",https://www.youtube.com/watch?v=NsNiVIThWpE
"陳慧琳 Kelly Chen - A Lover's Concerto 【HD】","Kaoru Redruby","02/03/2016",https://www.youtube.com/watch?v=P1m7HEvYsN8
"Dame Vera Lynn - We'll Meet Again (Singalong with Lyrics)","Vera Lynn","10/07/2020",https://www.youtube.com/watch?v=jbf9ZYi8eac
"2WEI - Survivor (Epic Cover - ""Tomb Raider - Trailer 2 Music"")","Epic Heaven Music","21/01/2018",https://www.youtube.com/watch?v=JGuWb_81als
"2WEI feat. Edda Hayes - Warriors (Official Imagine Dragons cover from League of Legends trailer)","2WEI","10/01/2020",https://www.youtube.com/watch?v=pEZIYGN5HIo
"Clair de Lune - Epic Version | Godzilla: King of Monsters","L'Orchestra Cinématique","01/08/2018",https://www.youtube.com/watch?v=fLqi5MDMDNw
"Duel of the Fates - Epic Version","Samuel Kim - Topic","31/12/2019",https://www.youtube.com/watch?v=nJNzPen5Ykg
"Stranger Things OST [Heroes]","small flowers crack concrete","18/07/2017",https://www.youtube.com/watch?v=BrpiVUeiJnI
"I Am The Doctor","Murray Gold - Topic","23/06/2017",https://www.youtube.com/watch?v=i83lYAVP7Qo
"Carol of The Bells - EPIC VERSION (by Samuel Kim) | Epic Christmas Music","Samuel Kim Music","25/12/2020",https://www.youtube.com/watch?v=bHe_i98krmo
"MOST BADASS VOCAL BATTLE ACTION EVER | by Epikus","Epic Music World","01/08/2018",https://www.youtube.com/watch?v=zP_lAuTRRCI
"Colossal Trailer Music - Sentenced To Death (Powerful Action Hybrid)","Epic Music World","02/10/2015",https://www.youtube.com/watch?v=_nbZZaICuvI
"13 Angels Standing Guard 'Round The Side Of Your Bed","Silver Mt Zion - Topic","16/05/2018",https://www.youtube.com/watch?v=9fN7udMAMog
"Doctor Who Series 7 Disc 2 Track 37 - Remember Me","WhoniverseMusic","08/09/2013",https://www.youtube.com/watch?v=wIKuxWsLoDE
"Deleted video","Indexer Laws","19/08/2022",https://www.youtube.com/watch?v=qg28yc2dnCk
"Russian Lullaby - Tili Tili Bom","Bima ArdianS 🕷","27/06/2016",https://www.youtube.com/watch?v=nnUFsDzvXBU
"Eminem - Lose Yourself But It's Mr. Blue Sky by Electric Light Orchestra","William Maranci Mashups","28/01/2021",https://www.youtube.com/watch?v=HrTWjrYYxBU
"Suzume no Tojimari『Suzume』Theme Song","AniMelody – Anime Music","29/09/2022",https://www.youtube.com/watch?v=qal34e9v_pk
"Lullaby of Woe - Ashley Serena (LYRICS)","Common Sense","26/07/2019",https://www.youtube.com/watch?v=ohNpf4VnlP8
"Ruelle - Good Day for Dreaming","alexias788","12/10/2020",https://www.youtube.com/watch?v=3aLzUGNEdrE
"2WEI & Edda Hayes - BURN","2WEI","14/07/2021",https://www.youtube.com/watch?v=92pwZ8zUGbE
"The Ecstasy of Gold - Ennio Morricone ( The Good, the Bad and the Ugly ) [High Quality Audio]","Cinema Hotel Studios","15/05/2013",https://www.youtube.com/watch?v=PYI09PMNazw
"Comforting Memories","Kumi Tanioka - Topic","21/10/2021",https://www.youtube.com/watch?v=k79dMVVmvA8
"Stand Tall","Lena Raine - Topic","21/10/2021",https://www.youtube.com/watch?v=OuYA_siR8Hc
"Don't wake me I'm not dreaming | sapientdream - past lives lirik terjemahan indonesia","Dirgavilm","11/07/2020",https://www.youtube.com/watch?v=haTkcu_l4tM
"Con La Brisa (From ""Black Panther: Wakanda Forever - Music From and Inspired By""/Visual...","MarvelMusicVEVO","04/11/2022",https://www.youtube.com/watch?v=FSXcA0FPpbM
"𝘠𝘰𝘶 𝘋𝘰𝘯'𝘵 𝘖𝘸𝘯 𝘔𝘦 (𝘴𝘭𝘰𝘸𝘦𝘥/𝘳𝘦𝘷𝘦𝘳𝘣)","siasme","07/01/2022",https://www.youtube.com/watch?v=JMHVR-xXa_w
"Florence + The Machine - Heaven Is Here","FlorenceMachineVEVO","07/03/2022",https://www.youtube.com/watch?v=Q4Ez9pitRJ0
"FreshmanSound - Darkwood (Horror Cinematic Mysterious Thriller Trailer)","Freshman “Freshmansound” Sound","23/06/2020",https://www.youtube.com/watch?v=vz35kFJErW4
"Stephanie Tarling - Pure Imagination | Absolution Music Network","Absolution Music Network","30/10/2016",https://www.youtube.com/watch?v=7yVUS5qKifg
"The Shadow of Death","Justin Varghese - Topic","23/10/2023",https://www.youtube.com/watch?v=9AH0C0VXy44
"Elley Duhé - Middle of The Night (Stave Remix)","Akuma Music","10/07/2022",https://www.youtube.com/watch?v=XzPOzqudjIk
"I Am The Doctor","Murray Gold - Topic","30/11/2022",https://www.youtube.com/watch?v=komb7TaF-6o
"Running Up That Hill (from ""Stranger Things"") (Epic Version)","Samuel Kim - Topic","23/11/2022",https://www.youtube.com/watch?v=KZYbdfV5RiY
"Running Up That Hill - Epic Version (from ""Stranger Things)","Samuel Kim - Topic","23/11/2022",https://www.youtube.com/watch?v=4fY9CXdIoU4
"sapientdream - Past Lives (Lyrics)","InvertOG","22/06/2023",https://www.youtube.com/watch?v=iNa1n6Gch7E
"sapientdream - Pastlives (lyrics)","TheGoodVibe","04/03/2020",https://www.youtube.com/watch?v=-TXtyYZIiWc
"Twinkle Twinkle Little Star but it's actually dark and full of anxiety","PianoDeuss","20/08/2022",https://www.youtube.com/watch?v=mx7tAev7q4I
"Stephanie Tarling - Pure Imagination [Extended][Microsoft]","bcFenix","26/10/2016",https://www.youtube.com/watch?v=Nse6FkmTTOg
"Woodkid - Run Boy Run - Live at Montreux 15.07.2016","WOODKID","06/04/2017",https://www.youtube.com/watch?v=EPKkjUpwwGY
"Woodkid - Run Boy Run (Official HD Video)","WOODKID","21/05/2012",https://www.youtube.com/watch?v=lmc21V-zBq0
"AEPH, Willow Knox, and Kings & Creatures - ""(Don't Fear) the Reaper"" (Official Audio)","Position Music","01/02/2023",https://www.youtube.com/watch?v=SwDgJFIkZ58
"Bea Miller - Playground  | Arcane League of Legends | Riot Games Music","Riot Games Music","12/11/2021",https://www.youtube.com/watch?v=3jfI-z__GY0
"ASMZ - 13 Angels Standing Guard 'Round the Side of Your Bed","zzyend","18/09/2007",https://www.youtube.com/watch?v=hQZfGa5t4e8
"ODESZA - The Last Goodbye ft. Bettye LaVette (Instrumental)","Rockstar Beats","06/10/2022",https://www.youtube.com/watch?v=uNRx8LnRzss
"Madonna - Like A Prayer (Choir Version) [Vinyl Visualizer]","Madonna","10/09/2024",https://www.youtube.com/watch?v=NdzOv1t8Ie4
"JJ - Wasted Love (Official Lyric Video) Extended Version","JJ","22/04/2025",https://www.youtube.com/watch?v=aQ7JnH7voCg
"Instrumental ringtone || Om Shanti Om || Main Agar Kahoon","CD Creation","23/05/2020",https://www.youtube.com/watch?v=2ZVX075EWnA
"What A Wonderful World (From ""The Wild Robot Trailer"")","Geek Music - Topic","24/03/2024",https://www.youtube.com/watch?v=xsNamZDKLgg
"Con La Brisa","Foudeqush - Topic","03/11/2022",https://www.youtube.com/watch?v=RJmlM5D2LFM
"LABOUR (the cacophony)","Paris Paloma - Topic","28/03/2024",https://www.youtube.com/watch?v=kJZ4lrEvzkw
"Pehle Bhi Main","Vishal Mishra - Topic","24/11/2023",https://www.youtube.com/watch?v=9cHq63r1vHQ
"Everything is romantic (Alina Kay TikTok Remix) | Fall in love again and again","purple drip boy","20/10/2025",https://www.youtube.com/watch?v=mEviLg29I1E
"Private video","Indexer Laws","25/11/2025",https://www.youtube.com/watch?v=U5AmwZd0OAU
"Deleted video","Indexer Laws","25/11/2025",https://www.youtube.com/watch?v=HBj5-osYutA
"Heroes","Peter Gabriel - Topic","10/08/2018",https://www.youtube.com/watch?v=jn1UkLoK9ek
"Remember Me","Murray Gold - Topic","19/08/2025",https://www.youtube.com/watch?v=TGJHsL_UXNo
"Everything is romantic (TikTok Version) Alina Kay vocals","Zayn","17/10/2025",https://www.youtube.com/watch?v=Q-cVaU0EH1Y
"Everything Is Romantic","Orchestra Club - Topic","06/11/2025",https://www.youtube.com/watch?v=7GrneQrzB6U
"Pehle Bhi Main (Slowed + Reverb) | Vishal Mishra | Animal | SR Lofi","SR Lofi","26/11/2023",https://www.youtube.com/watch?v=kZGpkkfk2lA
"28 YEARS LATER Trailer Song ""Boots"" Epic Trailer Version Music","The Wizard","10/12/2024",https://www.youtube.com/watch?v=BR9tfe9B2ac
"Adiemus","Karl Jenkins - Topic","31/12/2018",https://www.youtube.com/watch?v=C_wZ9ZBeRAo
"Adiemus - Adiemus [Enya]","Funstorm008","10/12/2010",https://www.youtube.com/watch?v=T7NlusISiHo
"Tony Tony Chopper (Instrumental Suite) | One Piece S2 | Official Soundtrack | Netflix","Netflix Music","10/03/2026",https://www.youtube.com/watch?v=hqKuVpbAIyk
