Playlist Title,"Pop Best of The Best"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkQtwaVBmQXt9e8FsykbEKnZ"

Title,Channel,Published,URL
"Alan Walker - Faded","Alan Walker","08/08/2024",https://www.youtube.com/watch?v=60ItHLz5WEA
"The Chainsmokers - Closer (Lyric) ft. Halsey","ChainsmokersVEVO","08/08/2024",https://www.youtube.com/watch?v=PT2_F-1esPk
"Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video]","Gotye","08/08/2024",https://www.youtube.com/watch?v=8UVNT4wvIGY
"Michael Jackson - Billie Jean (Official Video)","michaeljacksonVEVO","08/08/2024",https://www.youtube.com/watch?v=Zi_XLOBDo_Y
"Queen – Bohemian Rhapsody (Official Video Remastered)","Queen Official","08/08/2024",https://www.youtube.com/watch?v=fJ9rUzIMcZQ
"Guns N' Roses - Sweet Child O' Mine (Official Music Video)","GunsNRosesVEVO","08/08/2024",https://www.youtube.com/watch?v=1w7OgIMMRc4
"Whitney Houston - I Will Always Love You (Official 4K Video)","whitneyhoustonVEVO","08/08/2024",https://www.youtube.com/watch?v=3JWTaaS7LdU
"Beyoncé - Halo","BeyoncéVEVO","08/08/2024",https://www.youtube.com/watch?v=bnVUHWCynig
"Amy Winehouse - Back To Black","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=TJAfLE39ZZ8
"Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*","Marshmello","08/08/2024",https://www.youtube.com/watch?v=CY8E6N5Nzec
"Survivor - Eye Of The Tiger (Official HD Video)","SurvivorVEVO","08/08/2024",https://www.youtube.com/watch?v=btPJPFnesV4
"Coldplay - Viva La Vida (Official Video)","Coldplay","08/08/2024",https://www.youtube.com/watch?v=dvgZkm1xWPE
"Ed Sheeran - Shape Of You [Official Lyric Video]","Ed Sheeran","08/08/2024",https://www.youtube.com/watch?v=_dK2tDK9grQ
"Imagine Dragons - Believer (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=W0DM5lcj6mw
"Ariana Grande - One Last Time (Official Lyric Video)","ArianaGrandeVevo","08/08/2024",https://www.youtube.com/watch?v=Wg92RrNhB8s
"Kanye West - Stronger","KanyeWestVEVO","08/08/2024",https://www.youtube.com/watch?v=PsO6ZnUZI0g
"Avicii - Wake Me Up (Official Lyric Video)","AviciiOfficialVEVO","08/08/2024",https://www.youtube.com/watch?v=5y_KJAg8bHI
"Justin Bieber - Sorry (Lyric Video)","JustinBieberVEVO","08/08/2024",https://www.youtube.com/watch?v=8ELbX5CMomE
"Amy Winehouse - Rehab","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=KUmZp8pR1uc
"Ed Sheeran - The A Team [Official Music Video]","Ed Sheeran","08/08/2024",https://www.youtube.com/watch?v=UAWcs5H-qgQ
"George Ezra - Shotgun (Official Lyric Video)","GeorgeEzraVEVO","09/08/2024",https://www.youtube.com/watch?v=v_B3qkp4nO4
"Set Fire to the Rain","Adele - Topic","08/08/2024",https://www.youtube.com/watch?v=a2giXO6eyuI
"Michael Bublé - Feeling Good [Official 4K Remastered Music Video]","Michael Bublé","08/08/2024",https://www.youtube.com/watch?v=Edwsf-8F3sI
"U2 - I Still Haven't Found What I'm Looking For (Official Music Video)","U2VEVO","08/08/2024",https://www.youtube.com/watch?v=e3-5YC_oHjE
"Selena Gomez, Marshmello - Wolves (Lyrics)","SyrebralVibes","08/08/2024",https://www.youtube.com/watch?v=xrbY9gDVms0
"Billie Eilish - bad guy (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=4-TbQnONe_w
"Amy Winehouse - Tears Dry On Their Own","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=ojdbDYahiCQ
"Clean Bandit - Rockabye (Lyrics) feat. Sean Paul & Anne-Marie","7clouds","08/08/2024",https://www.youtube.com/watch?v=2VDdP7lYiiI
"Billie Eilish - lovely (Lyrics) ft. Khalid","7clouds","08/08/2024",https://www.youtube.com/watch?v=8VLXHyHRXjc
"Sia - Cheap Thrills (Lyrics) ft. Sean Paul","7clouds","08/08/2024",https://www.youtube.com/watch?v=mY9fNwGE7YA
"Zedd, Maren Morris, Grey - The Middle (Lyric Video)","ZEDDVEVO","08/08/2024",https://www.youtube.com/watch?v=Lj6Y6JCu-l4
"Doja Cat - Say So (Official Audio)","dojacatVEVO","08/08/2024",https://www.youtube.com/watch?v=uAYG46w1SCA
"Camila Cabello - Never Be the Same (Audio)","CamilaCabelloVEVO","08/08/2024",https://www.youtube.com/watch?v=FITSPSA8gQs
"Gnarls Barkley - Crazy","Gnarls Barkley videos 3","08/08/2024",https://www.youtube.com/watch?v=bd2B6SjMh_w
"Demi Lovato – Sorry Not Sorry (Lyrics) 🎵","Pixl Networks","08/08/2024",https://www.youtube.com/watch?v=0mHPrkhE_Tg
"Lady Gaga - Poker Face (Lyrics)","7th Heaven","08/08/2024",https://www.youtube.com/watch?v=BvJSig2WhnY
"MAGIC! - Rude (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=NoEMIVx4J78
"Shakira - Waka Waka (This Time For Africa) (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=czWcyZRAMtk
"Imagine Dragons - Thunder (Lyrics)","Royal Music","08/08/2024",https://www.youtube.com/watch?v=wFhs7WVvuXk
"P!nk - Just Give Me a Reason (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=D1CpWYU3DvA
"Justin Timberlake - Mirrors (Lyrics)","Authentic Music","08/08/2024",https://www.youtube.com/watch?v=voQ4rfKI4iE
"Shawn Mendes, Camila Cabello - Señorita (Lyrics)","Popular Music","08/08/2024",https://www.youtube.com/watch?v=23k5062WrDw
"Amy Winehouse - Stronger Than Me","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=7CYE0DYIbaw
"Panic! At the Disco - High Hopes (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=fH_OnJk6QqU
"Amy Winehouse - Love Is A Losing Game","AmyWinehouseVEVO","08/08/2024",https://www.youtube.com/watch?v=nMO5Ko_77Hk
"Katy Perry - Firework (Lyrics)","7th Heaven","08/08/2024",https://www.youtube.com/watch?v=KSbwHzlcgs8
"Rudimental - These Days (Lyrics) Ft. Jess Glynne, Macklemore & Dan Caplen","SyrebralVibes","08/08/2024",https://www.youtube.com/watch?v=UlXPdOuNU3Q
"Lady Gaga & Bradley Cooper - Shallow ( Lyrics Video )","KeepMyWords","08/08/2024",https://www.youtube.com/watch?v=4U7DayFVnHQ
"Girl on Fire","Alicia Keys - Topic","15/05/2025",https://www.youtube.com/watch?v=mVuSfxqpZa4
"Clean Bandit - Symphony (Lyrics) feat. Zara Larsson","7clouds","08/08/2024",https://www.youtube.com/watch?v=PIf9GvWaxQQ
"Rachel Platten - Fight Song (Lyrics)","AweLyrics","08/08/2024",https://www.youtube.com/watch?v=XbxNtPiCBK8
"Shawn Mendes - Treat You Better (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=0xgaqhe5QiM
"Toxic - Britney Spears (Lyrics)","BabyCakes","08/08/2024",https://www.youtube.com/watch?v=uCRT8IItGpw
"Iyaz - Replay | Lyrics","Sunset Sounds","08/08/2024",https://www.youtube.com/watch?v=GqYj_f9gVqM
"Rolling In The Deep - Adele (Lyrics) 🎵","Pillow","08/08/2024",https://www.youtube.com/watch?v=AIYpdjQVidc
"Selena Gomez - Back to You (Lyrics)","MarsMusic","08/08/2024",https://www.youtube.com/watch?v=GNGbmg_pVlQ
"Imagine Dragons - Radioactive (Lyric Video)","ImagineDragonsVEVO","08/08/2024",https://www.youtube.com/watch?v=w3viBe2Q0P8
"Fifth Harmony - Work from Home (Lyrics) ft. Ty Dolla $ign","7clouds","08/08/2024",https://www.youtube.com/watch?v=GJf28veNWHE
"Mark Ronson - Uptown Funk (Official Audio) ft. Bruno Mars","MarkRonsonVEVO","08/08/2024",https://www.youtube.com/watch?v=7Ya2U8XN_Zw
"Bastille - Pompeii (Lyrics)","YlovesMUSIC","08/08/2024",https://www.youtube.com/watch?v=m326LNIRB3k
"5 Seconds Of Summer - Youngblood (Lyrics) 5SOS","7clouds","08/08/2024",https://www.youtube.com/watch?v=Vwhrqd3UaKo
"The Weeknd - The Hills (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=zxdSHfZFKkY
"Rihanna - Diamonds (Lyrics) ""Shine bright like a diamond, We're beautiful, like diamonds in the sky""","7clouds","08/08/2024",https://www.youtube.com/watch?v=SZGgjpjnzOs
"Bad Blood","Taylor Swift - Topic","08/08/2024",https://www.youtube.com/watch?v=d2_FwIIQvWQ
"Lady Gaga - Bad Romance (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=TTOPBQhrvtQ
"Someone Like You - Adele (Lyrics) 🎵","Pillow","08/08/2024",https://www.youtube.com/watch?v=z7GCiVTlv04
"Coldplay - A Sky Full Of Stars (Lyrics)","AB Music","08/08/2024",https://www.youtube.com/watch?v=NDonh28AY3I
"Adele - Hello (Lyrics)","Aqua Lyrics","08/08/2024",https://www.youtube.com/watch?v=be12BC5pQLE
"Billie Eilish - when the party's over (Lyrics)","Leader Of Lyrics","08/08/2024",https://www.youtube.com/watch?v=YuRPkf9h5uM
"Zedd, Elley Duhé - Happy Now (Lyrics)","SyrebralVibes","08/08/2024",https://www.youtube.com/watch?v=g-tNJrAgP54
"Sam Smith - Too Good At Goodbyes (Lyrics)","Taj Tracks","08/08/2024",https://www.youtube.com/watch?v=v3qOmgTfscg
"Taylor Swift - Blank Space (Lyrics)","Vibe Music","08/08/2024",https://www.youtube.com/watch?v=nAQ_1lTDvPQ
"Walk The Moon - Shut Up And Dance (Lyrics)","New Hits Songs","08/08/2024",https://www.youtube.com/watch?v=_glQsoPesQo
"The Chainsmokers & Coldplay - Something Just Like This (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=fZUfdnmtg4Y
"Zara Larsson - Lush Life (Lyrics)","Aqua Lyrics","08/08/2024",https://www.youtube.com/watch?v=lyYh7xOb2cY
"Baby One More Time - Britney Spears (Lyrics)","Top Covers","08/08/2024",https://www.youtube.com/watch?v=4NJH75q0Syk
"Zara Larsson - Ruin My Life (Lyrics)","Royal Music","08/08/2024",https://www.youtube.com/watch?v=ppw9vAc_wGU
"MUSE - Something Human [Official Music Video]","Muse","08/08/2024",https://www.youtube.com/watch?v=azAEHCQgcUI
"Little Mix - DNA (Lyric video)","littlemixVEVO","08/08/2024",https://www.youtube.com/watch?v=UApkru34g4I
"Lorde - Royals Lyrics","CJ Testimony","08/08/2024",https://www.youtube.com/watch?v=98XFrnw7-UM
"Katy Perry - Roar (Lyrics)","Taj Tracks","08/08/2024",https://www.youtube.com/watch?v=mwL1cohnHNE
"Shawn Mendes - In My Blood (Lyrics)","SyrebralVibes","08/08/2024",https://www.youtube.com/watch?v=XEyhoB-hUrE
"Coldplay - Hymn For The Weekend (Lyrics)","Dan Music","08/08/2024",https://www.youtube.com/watch?v=I4VVUPyb4MM
"Alicia Keys - No One Lyrics","tutoriales y opiniones","08/08/2024",https://www.youtube.com/watch?v=Svj89qqFWiQ
"Justin Timberlake - Can't Stop The Feeling! [Lyrics]","GlyphoricVibes","08/08/2024",https://www.youtube.com/watch?v=wWPY-Qi0aVQ
"Sam Smith - Stay With Me (Lyrics)","Taj Tracks","08/08/2024",https://www.youtube.com/watch?v=-hJgdaAO28Q
"Years & Years - If You're Over Me (Lyrics)","NewMelody","08/08/2024",https://www.youtube.com/watch?v=1RNXYIsmbeY
"P!nk - What About Us (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=Uly501wCkYI
"Miley Cyrus - Party In The USA (Lyrics)","Hade Music","08/08/2024",https://www.youtube.com/watch?v=MBm6ji5mWlU
"Pharrell Williams - Happy (Lyrics)","AnimeOracle","08/08/2024",https://www.youtube.com/watch?v=jv-pYB0Qw9A
"Shawn Mendes - Wonder (Lyric Video)","ShawnMendesVEVO","08/08/2024",https://www.youtube.com/watch?v=Yy1oGBjZbrA
"George Ezra - Budapest (Lyrics)","7clouds","09/08/2024",https://www.youtube.com/watch?v=4YCkAVokE84
"Rihanna - SOS (Lyrics)","Popular Music","08/08/2024",https://www.youtube.com/watch?v=OFfVQCVzjZU
"Hailee Steinfeld, Grey - Starving (Lyrics) ft. Zedd","Dreams Music","08/08/2024",https://www.youtube.com/watch?v=HZTOqzdMQMU
"Love The Way You Lie","Eminem - Topic","08/08/2024",https://www.youtube.com/watch?v=acMtKzTbAAU
"Beyoncé - Single Ladies (Put A Ring On It) (Official Audio)","Nielson Lucas","08/08/2024",https://www.youtube.com/watch?v=CQpTT64uFcA
"Thirty Seconds To Mars - Rescue Me (Lyrics)","7clouds","08/08/2024",https://www.youtube.com/watch?v=0nLkfijnlaY
"Private video","Indexer Laws","08/08/2024",https://www.youtube.com/watch?v=rcCtiO515Rg
"Private video","Indexer Laws","08/08/2024",https://www.youtube.com/watch?v=KRCj8-8rdT4
