idea_id,section,subsection,level,parent_item,title,description,full_text,images
idea-0001,Exterior,Location & Environment,1,,Good Location,,Good Location,
idea-0002,Exterior,Location & Environment,2,Good Location,Close to School,,Close to School,
idea-0003,Exterior,Location & Environment,2,Good Location,Close to Supermarket,,Close to Supermarket,
idea-0004,Exterior,Location & Environment,2,Good Location,Not Near Noisy Roads,,Not Near Noisy Roads,
idea-0005,Exterior,Location & Environment,2,Good Location,West Side City because more wealthy area,,West Side City because more wealthy area,
idea-0006,Exterior,Location & Environment,1,,Near but not too close to train station,,Near but not too close to train station,
idea-0007,Exterior,Location & Environment,1,,Not Near Airport,There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by,Not Near Airport - There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by,
idea-0008,Exterior,Location & Environment,1,,Not Near Railway,Not near a main noisy road or near a railway airport or anything loud.,Not Near Railway - Not near a main noisy road or near a railway airport or anything loud.,
idea-0009,Exterior,Location & Environment,1,,Quiet Area,Not near a stadium or loud pub or main road. Quiet area.,Quiet Area - Not near a stadium or loud pub or main road. Quiet area.,
idea-0010,Exterior,Location & Environment,1,,Relatively Near Grocery or Corner Store,You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.,Relatively Near Grocery or Corner Store - You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.,
idea-0011,Exterior,Safety & Security,1,,AI Security Drones for Home Surveillance,"Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity.","AI Security Drones for Home Surveillance - Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity.",
idea-0012,Exterior,Safety & Security,1,,Biometric Smart Door Locks,"Doors that use fingerprint or facial recognition for secure, keyless entry.","Biometric Smart Door Locks - Doors that use fingerprint or facial recognition for secure, keyless entry.",
idea-0013,Exterior,Safety & Security,1,,"Easy, Quick Secure Electric Bike Storage","Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike.","Easy, Quick Secure Electric Bike Storage - Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike.",
idea-0014,Exterior,Safety & Security,1,,Security Cameras,Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.,Security Cameras - Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.,
idea-0015,Exterior,Utilities & Infrastructure,1,,Electric Car Integration with Smart Grid Charging,A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.,Electric Car Integration with Smart Grid Charging - A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.,
idea-0016,Exterior,Utilities & Infrastructure,1,,Electric Fast Charging Station for Cars,May want multiple electric fast car stations for multiple cars parked at the house,Electric Fast Charging Station for Cars - May want multiple electric fast car stations for multiple cars parked at the house,
idea-0017,Exterior,Specialty & Novelty,1,,Hand Prints in Concrete,Leave hand prints and date in the concrete,Hand Prints in Concrete - Leave hand prints and date in the concrete,
idea-0018,Exterior,General,1,,Detached House,Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up,Detached House - Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up,
idea-0019,Exterior,General,1,,Don’t use Astro Turf because rubber cancerous,Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.,Don’t use Astro Turf because rubber cancerous - Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.,
idea-0020,Exterior,General,1,,Driveway Turn Table,to easily turn your car around in a small driveway,Driveway Turn Table - to easily turn your car around in a small driveway,
idea-0021,Exterior,General,1,,Fungi Mushroom Bricks,Could be more environmentally friendly and make sure they’re flame retardant,Fungi Mushroom Bricks - Could be more environmentally friendly and make sure they’re flame retardant,
idea-0022,Exterior,General,1,,Heated Driveway,A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.,Heated Driveway - A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.,
idea-0023,Exterior,General,1,,Horse Field,In the morning you can see your horses just outside your window.,Horse Field - In the morning you can see your horses just outside your window.,
idea-0024,Exterior,General,1,,Robots and Ai to carve stone,To make caving stone cheaper use a company that uses ai and robots to carve stone.,Robots and Ai to carve stone - To make caving stone cheaper use a company that uses ai and robots to carve stone.,
idea-0025,Exterior,General,1,,Solar Panels,Make sure it’s facing the optimal direction,Solar Panels - Make sure it’s facing the optimal direction,
idea-0026,Exterior,General,1,,View over the city,I want to be able to look down at the city while in the garden or from my bedroom,View over the city - I want to be able to look down at the city while in the garden or from my bedroom,
idea-0027,Layout Floor Plan,Location & Environment,1,,Dedicated Mudroom,"A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house.","Dedicated Mudroom - A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house.",
idea-0028,Layout Floor Plan,Location & Environment,1,,Sound Proof Laundry Room,"Laundry room should be sound proof and away from bedrooms or near the entertainment rooms, and should be out of site, and be able to stay warm in the winter to dry clothes","Sound Proof Laundry Room - Laundry room should be sound proof and away from bedrooms or near the entertainment rooms, and should be out of site, and be able to stay warm in the winter to dry clothes",
idea-0029,Layout Floor Plan,Location & Environment,1,,Washing Machine Near Drying Wracks,Even if you use the drying machine you might want to use drying wracks.,Washing Machine Near Drying Wracks - Even if you use the drying machine you might want to use drying wracks.,
idea-0030,Layout Floor Plan,Layout & Flow,1,,Artificial Skylights,especially on rooms with lots of interior walls or in basement room. This will make a really big difference to the feel of the rooms that. Even ones in the bed rooms might be nice when it’s a cloudy day.,Artificial Skylights - especially on rooms with lots of interior walls or in basement room. This will make a really big difference to the feel of the rooms that. Even ones in the bed rooms might be nice when it’s a cloudy day.,
idea-0031,Layout Floor Plan,Layout & Flow,1,,Back door not in line of front door,"Chinese Superstition says homes with a back door directly in line with the front door are bad luck. They are believed to have Chi come in only to have it go straight out the back door. Chinese superstitious want Chi to come into their homes, stay, and circulate throughout. The more positive energy, the better.","Back door not in line of front door - Chinese Superstition says homes with a back door directly in line with the front door are bad luck. They are believed to have Chi come in only to have it go straight out the back door. Chinese superstitious want Chi to come into their homes, stay, and circulate throughout. The more positive energy, the better.",
idea-0032,Layout Floor Plan,Layout & Flow,1,,Bathrooms don’t face Large Rooms,Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,Bathrooms don’t face Large Rooms - Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,
idea-0033,Layout Floor Plan,Layout & Flow,1,,Bedrooms Not Close to Loud Rooms,Ideal room layout. Make sure bedrooms are far from entertaining spaces.,Bedrooms Not Close to Loud Rooms - Ideal room layout. Make sure bedrooms are far from entertaining spaces.,
idea-0034,Layout Floor Plan,Layout & Flow,1,,Big room for House Entrance space,Big Entrance Room to the house creates an Impressive impression for any visitors to the home.,Big room for House Entrance space - Big Entrance Room to the house creates an Impressive impression for any visitors to the home.,
idea-0035,Layout Floor Plan,Layout & Flow,1,,Cinema room sound proof on all four walls and door,,Cinema room sound proof on all four walls and door,
idea-0036,Layout Floor Plan,Layout & Flow,1,,Cupboards with Secret Door Ways,"A cupboard with a secret back, that can open up to networker secret passageways","Cupboards with Secret Door Ways - A cupboard with a secret back, that can open up to networker secret passageways",
idea-0037,Layout Floor Plan,Layout & Flow,1,,Efficient Easy Trash System,make taking out the trash easy and as quick as possible.,Efficient Easy Trash System - make taking out the trash easy and as quick as possible.,
idea-0038,Layout Floor Plan,Layout & Flow,1,,Elevator,Place to put in a small elevator for when I get old and can’t walk up stairs,Elevator - Place to put in a small elevator for when I get old and can’t walk up stairs,
idea-0039,Layout Floor Plan,Layout & Flow,1,,Gas Boiler in attic,Electric cooker and gas boiler should be in the attic to avoid carbon monoxide poisoning,Gas Boiler in attic - Electric cooker and gas boiler should be in the attic to avoid carbon monoxide poisoning,
idea-0040,Layout Floor Plan,Layout & Flow,1,,Hidden Walk In Pantry,The door of the pantry just looks like a normal kitchen cupboard but actually goes way deeper to reveal a hidden walk in kitchen pantry,Hidden Walk In Pantry - The door of the pantry just looks like a normal kitchen cupboard but actually goes way deeper to reveal a hidden walk in kitchen pantry,
idea-0041,Layout Floor Plan,Layout & Flow,1,,Kitchen and Garage next to each other to push groceries through a small door,to stop you having to carry all the groceries through the house just have a little hidden door under a cupboard to slide in the groceries from the garage to the kitchen.,Kitchen and Garage next to each other to push groceries through a small door - to stop you having to carry all the groceries through the house just have a little hidden door under a cupboard to slide in the groceries from the garage to the kitchen.,
idea-0042,Layout Floor Plan,Layout & Flow,1,,Kitchen Opens to Living Room,Most people will like if the kitchen opens to the dining or living rooms so whoever is cooking can still interact with guests or keep an eye on the kids playing.,Kitchen Opens to Living Room - Most people will like if the kitchen opens to the dining or living rooms so whoever is cooking can still interact with guests or keep an eye on the kids playing.,
idea-0043,Layout Floor Plan,Layout & Flow,1,,Laundry Shoot,Tubes around the house you can easily throw your clothes in that take it straight to the laundry room.,Laundry Shoot - Tubes around the house you can easily throw your clothes in that take it straight to the laundry room.,
idea-0044,Layout Floor Plan,Layout & Flow,1,,Open Plan Houses Need Small Cosy Rooms,Although most of the house should be big open floor plan there should be a few small cosy bedrooms maybe in the roof of the house so some of the rooms feel cosy.,Open Plan Houses Need Small Cosy Rooms - Although most of the house should be big open floor plan there should be a few small cosy bedrooms maybe in the roof of the house so some of the rooms feel cosy.,
idea-0045,Layout Floor Plan,Layout & Flow,1,,Padded Silent Doors,all doors need the bedrooms need to be silent enough in order to not wake anyone up if someone needs to go to the toilet.,Padded Silent Doors - all doors need the bedrooms need to be silent enough in order to not wake anyone up if someone needs to go to the toilet.,
idea-0046,Layout Floor Plan,Layout & Flow,1,,"Secret Rooms, Hallways and Staircases","Behind a bookcase, secret ways to get around the houses. Places to hid in case of a home invasion.","Secret Rooms, Hallways and Staircases - Behind a bookcase, secret ways to get around the houses. Places to hid in case of a home invasion.",
idea-0047,Layout Floor Plan,Layout & Flow,1,,Slide Out Stacked Storage Bin Room,Big storage room filled with slide out big bin boxes that can easily labeled.,Slide Out Stacked Storage Bin Room - Big storage room filled with slide out big bin boxes that can easily labeled.,
idea-0048,Layout Floor Plan,Layout & Flow,1,,Super Charger in garage,Fast electric car charger,Super Charger in garage - Fast electric car charger,
idea-0049,Layout Floor Plan,Layout & Flow,1,,Tower,,Tower,
idea-0050,Layout Floor Plan,Layout & Flow,1,,Ventilation and Airflow Between Rooms,it’s important for staying call and get rid of odours that there’s good ventilation.,Ventilation and Airflow Between Rooms - it’s important for staying call and get rid of odours that there’s good ventilation.,
idea-0051,Layout Floor Plan,Layout & Flow,1,,Wrap Around Covered Porch,for summer those days you want to sit out without getting totally sunburned. Or those days it’s raining but want to peak outside without getting wet.,Wrap Around Covered Porch - for summer those days you want to sit out without getting totally sunburned. Or those days it’s raining but want to peak outside without getting wet.,
idea-0052,Layout Floor Plan,Safety & Security,1,,Built-In Safe Room,"– A small, reinforced hidden room for emergencies or security threats.","Built-In Safe Room - – A small, reinforced hidden room for emergencies or security threats.",
idea-0053,Design,Aesthetic & Design,1,,Use the Golden Ratio Rule,,Use the Golden Ratio Rule,
idea-0054,Design,General,1,,Use the 60-30-10 rule for colour,,Use the 60-30-10 rule for colour,
idea-0055,Every Room,Location & Environment,1,,Trash Chutes,So we don’t have to carry dirty bin bags all round the house. It would be good if there were trash chutes near where they’re needed so we didn’t carry bags all around the house.,Trash Chutes - So we don’t have to carry dirty bin bags all round the house. It would be good if there were trash chutes near where they’re needed so we didn’t carry bags all around the house.,
idea-0056,Every Room,Safety & Security,1,,Carbon Monoxide Alarm,,Carbon Monoxide Alarm,
idea-0057,Every Room,Safety & Security,1,,Fire Alarm,And fire blankets and fire extinguishers. Even in the bed room where a hair straightener might catch fire.,Fire Alarm - And fire blankets and fire extinguishers. Even in the bed room where a hair straightener might catch fire.,
idea-0058,Every Room,Safety & Security,1,,Plug sockets inside drawers,plugs sockets inside draws so you can hide away our charging devices and cables for your battery pack or camera charger,Plug sockets inside drawers - plugs sockets inside draws so you can hide away our charging devices and cables for your battery pack or camera charger,
idea-0059,Every Room,Utilities & Infrastructure,1,,All drinking taps must have the best water filter system you can get,water can have plastic and other harmful chemicals and particles in.,All drinking taps must have the best water filter system you can get - water can have plastic and other harmful chemicals and particles in.,
idea-0060,Every Room,Utilities & Infrastructure,1,,Good air conditioning!,Good air conditioning in all the rooms especially the ones we spend the most time in and bedrooms,Good air conditioning! - Good air conditioning in all the rooms especially the ones we spend the most time in and bedrooms,
idea-0061,Every Room,Utilities & Infrastructure,1,,Hidden Charging Stations in Every Room,Built-in charging docks in drawers or cupboards to keep devices powered without visible clutter.,Hidden Charging Stations in Every Room - Built-in charging docks in drawers or cupboards to keep devices powered without visible clutter.,
idea-0062,Every Room,Utilities & Infrastructure,1,,Under Floor Heating,Keep your feet warm in the winter,Under Floor Heating - Keep your feet warm in the winter,
idea-0063,Every Room,Lighting & Ambience,1,,Big Windows and Ceiling Windows,Lots of windows for natural light and maybe roof windows,Big Windows and Ceiling Windows - Lots of windows for natural light and maybe roof windows,
idea-0064,Every Room,Lighting & Ambience,1,,Lots of natural light but also black out blinds or curtains,"I think high ceilings and lots of natural light makes the home feel so much brighter and improves our mood, but sometimes you want it darker for watching films or because it’s too sunny.","Lots of natural light but also black out blinds or curtains - I think high ceilings and lots of natural light makes the home feel so much brighter and improves our mood, but sometimes you want it darker for watching films or because it’s too sunny.",
idea-0065,Every Room,General,1,,Air Purifiers,Clean air is important for good health and sleep quality,Air Purifiers - Clean air is important for good health and sleep quality,
idea-0066,Every Room,General,1,,Air Quality Monitoring and Purification System,Real-time air quality sensors paired with smart air purifiers to maintain optimal indoor air health.,Air Quality Monitoring and Purification System - Real-time air quality sensors paired with smart air purifiers to maintain optimal indoor air health.,
idea-0067,Every Room,General,1,,Anti-Bacterial Surfaces in Bathrooms and Kitchen,"– Use surfaces with anti-bacterial properties for sinks, counters, and floors.","Anti-Bacterial Surfaces in Bathrooms and Kitchen - – Use surfaces with anti-bacterial properties for sinks, counters, and floors.",
idea-0068,Every Room,General,1,,Artificial Skylights,Makes a real difference even on rainy days,Artificial Skylights - Makes a real difference even on rainy days,
idea-0069,Every Room,General,1,,Automatic Opening Bins,These should be attached to the mains if possible so we’re not constantly having to change and charge the batteries.,Automatic Opening Bins - These should be attached to the mains if possible so we’re not constantly having to change and charge the batteries.,
idea-0070,Every Room,General,1,,Avoid Trip barriers beteeen floors,,Avoid Trip barriers beteeen floors,
idea-0071,Every Room,General,1,,Built In Door Stops Openers,A door holder opener for almost every door. Door stops to stop holes in the walls,Built In Door Stops Openers - A door holder opener for almost every door. Door stops to stop holes in the walls,
idea-0072,Every Room,General,1,,Child-Safe Window Latches,Windows with safety latches that prevent them from opening wide enough for a child to fall through.,Child-Safe Window Latches - Windows with safety latches that prevent them from opening wide enough for a child to fall through.,
idea-0073,Every Room,General,1,,Concealed Hidden Magnet Door Latch,To keep doors staying open and to not have a door latch sticking out out the floor or wall you could have a completely hidden magnet system in your door and floor to keep the door open.,Concealed Hidden Magnet Door Latch - To keep doors staying open and to not have a door latch sticking out out the floor or wall you could have a completely hidden magnet system in your door and floor to keep the door open.,
idea-0074,Every Room,General,1,,Cupboards up to the Ceiling,Cupboard that you can’t things on top on because it reaches to the ceiling. This also means dust won’t build up on the top of cupboards.,Cupboards up to the Ceiling - Cupboard that you can’t things on top on because it reaches to the ceiling. This also means dust won’t build up on the top of cupboards.,
idea-0075,Every Room,General,1,,Extremely Fast Wi-Fi,Slow Wi-Fi is the worst.,Extremely Fast Wi-Fi - Slow Wi-Fi is the worst.,
idea-0076,Every Room,General,1,,Fire Proof Doors,to compartmentalise a fire.,Fire Proof Doors - to compartmentalise a fire.,
idea-0077,Every Room,General,1,,Fire Sprinklers,To Diffuse a fire,Fire Sprinklers - To Diffuse a fire,
idea-0078,Every Room,General,1,,Hand Held Vacuum Cleaners in Every Room,Should be constantly on charge when not in use,Hand Held Vacuum Cleaners in Every Room - Should be constantly on charge when not in use,
idea-0079,Every Room,General,1,,Heated Skirting Boards,Instead of radiators or air vents you should use heated skirted board for more space and more even heating.,Heated Skirting Boards - Instead of radiators or air vents you should use heated skirted board for more space and more even heating.,
idea-0080,Every Room,General,1,,Hidden speakers in every room,Connected speaks that make it easy to play music with a high quality sound where ever you are in the house.,Hidden speakers in every room - Connected speaks that make it easy to play music with a high quality sound where ever you are in the house.,
idea-0081,Every Room,General,1,,Hidden Storage,To make everything look a lot less cluttered I think hidden storage is key in every room.,Hidden Storage - To make everything look a lot less cluttered I think hidden storage is key in every room.,
idea-0082,Every Room,General,1,,High Ceilings,I think high ceilings are what makes an upper class house feel upper class. Makes it feel more open and grand.,High Ceilings - I think high ceilings are what makes an upper class house feel upper class. Makes it feel more open and grand.,
idea-0083,Every Room,General,1,,High Ceilings,,High Ceilings,
idea-0084,Every Room,General,1,,Intercom System or Alexa,For when you need to announce it’s dinner time,Intercom System or Alexa - For when you need to announce it’s dinner time,
idea-0085,Every Room,General,1,,Lots of Plug Sockets - We live in a tech driven world. We will probably want not issue of not having enough tidy plugs to power our electronics.,,Lots of Plug Sockets - We live in a tech driven world. We will probably want not issue of not having enough tidy plugs to power our electronics.,
idea-0086,Every Room,General,1,,Magnetic Insect Nets on Windows,"Windows that you can magnetically attach insect tight mosquito nets too, so you can open the window wide if your hot and not have to worry about insects coming in.","Magnetic Insect Nets on Windows - Windows that you can magnetically attach insect tight mosquito nets too, so you can open the window wide if your hot and not have to worry about insects coming in.",
idea-0087,Every Room,General,1,,Mains Wired Motion Sensor Lights in Cupboards,it’s always a pain when you have to go around each battery operated and recharge it and then put it back. It would much better if all the small motions sensor lights in the cupboards were also plugged into the mains supply.,Mains Wired Motion Sensor Lights in Cupboards - it’s always a pain when you have to go around each battery operated and recharge it and then put it back. It would much better if all the small motions sensor lights in the cupboards were also plugged into the mains supply.,
idea-0088,Every Room,General,1,,Mood Lighting,"That’s easy to fix if it breaks, and easy to link to a smart speaker","Mood Lighting - That’s easy to fix if it breaks, and easy to link to a smart speaker",
idea-0089,Every Room,General,1,,Motion Sensor Lights in Cupboards,for big cupboards and pantry and under the stairs cupboard all connected to the mains not battery operated.,Motion Sensor Lights in Cupboards - for big cupboards and pantry and under the stairs cupboard all connected to the mains not battery operated.,
idea-0090,Every Room,General,1,,No Creaky Floors,Creaky floors wake portions up a night,No Creaky Floors - Creaky floors wake portions up a night,
idea-0091,Every Room,General,1,,Scented Rooms,Scented items in the bedroom and in the main rooms.,Scented Rooms - Scented items in the bedroom and in the main rooms.,
idea-0092,Every Room,General,1,,Separate Blackout Curtains,Second layer of blackout curtains everywhere,Separate Blackout Curtains - Second layer of blackout curtains everywhere,
idea-0093,Every Room,General,1,,Skirting Board Heating,instead of radiators the heating could be hidden in the skirting board.,Skirting Board Heating - instead of radiators the heating could be hidden in the skirting board.,
idea-0094,Every Room,General,1,,Slip-Resistant Flooring in Wet Areas,"Bathroom, kitchen, and entryway floors designed with anti-slip surfaces to reduce accidents.","Slip-Resistant Flooring in Wet Areas - Bathroom, kitchen, and entryway floors designed with anti-slip surfaces to reduce accidents.",
idea-0095,Every Room,General,1,,Smart Lights,Easy to connect to a smart speaker and capable of changing colours for parties.,Smart Lights - Easy to connect to a smart speaker and capable of changing colours for parties.,
idea-0096,Every Room,General,1,,Smart Water Leak Sensors,"Install sensors in bathrooms, kitchens, and laundry rooms to detect water leaks early and prevent damage.","Smart Water Leak Sensors - Install sensors in bathrooms, kitchens, and laundry rooms to detect water leaks early and prevent damage.",
idea-0097,Every Room,General,1,,Soft-Close Cabinet and Drawer Mechanisms,Prevent little fingers from getting trapped with soft-close hinges on all cabinets and drawers.,Soft-Close Cabinet and Drawer Mechanisms - Prevent little fingers from getting trapped with soft-close hinges on all cabinets and drawers.,
idea-0098,Every Room,General,1,,Taps should not be too close to the sink edge,There should be lots of room to wash hands without it touching the rest of the sink even at low power.,Taps should not be too close to the sink edge - There should be lots of room to wash hands without it touching the rest of the sink even at low power.,
idea-0099,Every Room,General,1,,Top of Furniture Connected To Wall,"To stop kids combing and toppling over furniture, it should be secured to the wall to stop that occurring.","Top of Furniture Connected To Wall - To stop kids combing and toppling over furniture, it should be secured to the wall to stop that occurring.",
idea-0100,Every Room,General,1,,Vacuum Cleaner Robot,One that can learn the layout of the house.,Vacuum Cleaner Robot - One that can learn the layout of the house.,
idea-0101,Every Room,General,1,,Windows with built in insect nets blinds,Some windows should have built in insect mosquitoes nets that can be pulled down while also allowing you to open the window and let the fresh air in. The mosquitoes nets should be easy to pull down and apply but then also be easy to roll up and disappear when you want and uninterrupted view.,Windows with built in insect nets blinds - Some windows should have built in insect mosquitoes nets that can be pulled down while also allowing you to open the window and let the fresh air in. The mosquitoes nets should be easy to pull down and apply but then also be easy to roll up and disappear when you want and uninterrupted view.,
idea-0102,Rooms Names,Layout & Flow,1,,Toy / play room (Next to kitchen),,Toy / play room (Next to kitchen),
idea-0103,Rooms Names,Safety & Security,1,,Security room,,Security room,
idea-0104,Rooms Names,General,1,,Barber room,,Barber room,
idea-0105,Rooms Names,General,1,,Bathroom,,Bathroom,
idea-0106,Rooms Names,General,1,,Bedroom x 3,,Bedroom x 3,
idea-0107,Rooms Names,General,1,,Caught yard,,Caught yard,
idea-0108,Rooms Names,General,1,,Cinema,,Cinema,
idea-0109,Rooms Names,General,1,,Cloak room,,Cloak room,
idea-0110,Rooms Names,General,1,,Conservatory,,Conservatory,
idea-0111,Rooms Names,General,1,,Green screen room,,Green screen room,
idea-0112,Rooms Names,General,1,,Gym,,Gym,
idea-0113,Rooms Names,General,1,,Hall,,Hall,
idea-0114,Rooms Names,General,1,,Indoor horse riding area a,,Indoor horse riding area a,
idea-0115,Rooms Names,General,1,,Kitchen,,Kitchen,
idea-0116,Rooms Names,General,1,,Laundry room,,Laundry room,
idea-0117,Rooms Names,General,1,,Lego Gallery room (display all mine and my fathers Lego models),,Lego Gallery room (display all mine and my fathers Lego models),
idea-0118,Rooms Names,General,1,,Library,,Library,
idea-0119,Rooms Names,General,1,,Living room / lounge,,Living room / lounge,
idea-0120,Rooms Names,General,1,,Pantry,,Pantry,
idea-0121,Rooms Names,General,1,,Personal assistant living area,,Personal assistant living area,
idea-0122,Rooms Names,General,1,,Playroom,,Playroom,
idea-0123,Rooms Names,General,1,,Roof garden,,Roof garden,
idea-0124,Rooms Names,General,1,,Safe Room,,Safe Room,
idea-0125,Rooms Names,General,1,,Smooth white white bright room for filming,,Smooth white white bright room for filming,
idea-0126,Rooms Names,General,1,,Study,,Study,
idea-0127,Rooms Names,General,1,,Tardis Interior,,Tardis Interior,
idea-0128,Rooms Names,General,1,,Tower,,Tower,
idea-0129,Rooms Names,General,1,,Utility room,,Utility room,
idea-0130,Rooms Names,General,1,,Video Game room,,Video Game room,
idea-0131,Rooms Names,General,1,,Workshop,,Workshop,
idea-0132,Stairs,General,1,,Carpeted Stairs are Less Slippy,Carpeted stairs so dogs don’t slip on them,Carpeted Stairs are Less Slippy - Carpeted stairs so dogs don’t slip on them,
idea-0133,Stairs,General,1,,Elevator,Place to put in a small elevator for when I get old and can’t walk up stairs,Elevator - Place to put in a small elevator for when I get old and can’t walk up stairs,
idea-0134,Stairs,General,1,,Full Size Hidden Slide,There should be a classy fashionable good looking indoor slide hidden from the main staircase,Full Size Hidden Slide - There should be a classy fashionable good looking indoor slide hidden from the main staircase,
idea-0135,Stairs,General,1,,Hidden Dog Gate,Dog gate that can be pushed into the wall and look like there’s no gate at all.,Hidden Dog Gate - Dog gate that can be pushed into the wall and look like there’s no gate at all.,
idea-0136,Stairs,General,1,,Motion Sensor Lights,Automatic motion detector lights under the lip of the stairs (so you don’t trip down the stairs at night.,Motion Sensor Lights - Automatic motion detector lights under the lip of the stairs (so you don’t trip down the stairs at night.,
idea-0137,Stairs,General,1,,Perfectly Sized Stairs,Stairs that are perfectly that are the right size and reduces tripping,Perfectly Sized Stairs - Stairs that are perfectly that are the right size and reduces tripping,
