section,subsection,level,parent_item,title,description,full_text
Exterior,,1,,Not Near Airport,There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by,Not Near Airport - There’s nothing worse then being woken up or disrupted by a loud aircraft flying close by
Exterior,,1,,Not Near Railway,Not near a main noisy road or near a railway airport or anything loud.,Not Near Railway - Not near a main noisy road or near a railway airport or anything loud.
Exterior,,1,,Relatively Near Grocery or Corner Store,You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.,Relatively Near Grocery or Corner Store - You need to cook everyday and there’s nothing more annoying than commonly finding yourself to not have the right ingredients you need to cook why you want to cook.
Exterior,,1,,Quiet Area,Not near a stadium or loud pub or main road. Quiet area.,Quiet Area - Not near a stadium or loud pub or main road. Quiet area.
Exterior,,1,,Hand Prints in Concrete,Leave hand prints and date in the concrete,Hand Prints in Concrete - Leave hand prints and date in the concrete
Exterior,,1,,Detached House,Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up,Detached House - Detached house so we don’t get woken up by neighbours next door and so we don’t wake them up
Exterior,,1,,Solar Panels,Make sure it’s facing the optimal direction,Solar Panels - Make sure it’s facing the optimal direction
Exterior,,1,,Robots and Ai to carve stone,To make caving stone cheaper use a company that uses ai and robots to carve stone.,Robots and Ai to carve stone - To make caving stone cheaper use a company that uses ai and robots to carve stone.
Exterior,,1,,Fungi Mushroom Bricks,Could be more environmentally friendly and make sure they’re flame retardant,Fungi Mushroom Bricks - Could be more environmentally friendly and make sure they’re flame retardant
Exterior,,1,,Good Location,,Good Location
Exterior,,2,Good Location,Close to Supermarket,,Close to Supermarket
Exterior,,2,Good Location,Close to School,,Close to School
Exterior,,2,Good Location,Not Near Noisy Roads,,Not Near Noisy Roads
Exterior,,2,Good Location,West Side City because more wealthy area,,West Side City because more wealthy area
Exterior,,1,,View over the city,I want to be able to look down at the city while in the garden or from my bedroom,View over the city - I want to be able to look down at the city while in the garden or from my bedroom
Exterior,,1,,Near but not too close to train station,,Near but not too close to train station
Exterior,,1,,Biometric Smart Door Locks,"Doors that use fingerprint or facial recognition for secure, keyless entry.","Biometric Smart Door Locks - Doors that use fingerprint or facial recognition for secure, keyless entry."
Exterior,,1,,Driveway Turn Table,to easily turn your car around in a small driveway,Driveway Turn Table - to easily turn your car around in a small driveway
Exterior,,1,,Electric Fast Charging Station for Cars,May want multiple electric fast car stations for multiple cars parked at the house,Electric Fast Charging Station for Cars - May want multiple electric fast car stations for multiple cars parked at the house
Exterior,,1,,Security Cameras,Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.,Security Cameras - Good enough quality to see faces and number plates. Pay for storage. Connected to the mains so you don’t have to keep changing batteries.
Exterior,,1,,Heated Driveway,A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.,Heated Driveway - A snow-melting driveway system to prevent slippery surfaces and reduce shoveling in winter.
Exterior,,1,,Don’t use Astro Turf because rubber cancerous,Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.,Don’t use Astro Turf because rubber cancerous - Unless you can find Astro that doesn’t use rubber pallets that can be eaten by children don’t get Astro Turf or any other artificial grass.
Exterior,,1,,Electric Car Integration with Smart Grid Charging,A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.,Electric Car Integration with Smart Grid Charging - A smart charging station that can charge electric vehicles during off-peak hours and even return power to the house during shortages.
Exterior,,1,,"Easy, Quick Secure Electric Bike Storage","Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike.","Easy, Quick Secure Electric Bike Storage - Having to spend ages untangling and unlocking a bike lock every morning is very annoying, there should be way to easily secure and charge the electric bike."
Exterior,,1,,Horse Field,In the morning you can see your horses just outside your window.,Horse Field - In the morning you can see your horses just outside your window.
Exterior,,1,,AI Security Drones for Home Surveillance,"Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity.","AI Security Drones for Home Surveillance - Small autonomous drones that patrol the property, providing live feeds and alerting homeowners to unusual activity."
Layout Floor Plan,,1,,Bedrooms Not Close to Loud Rooms,Ideal room layout. Make sure bedrooms are far from entertaining spaces.,Bedrooms Not Close to Loud Rooms - Ideal room layout. Make sure bedrooms are far from entertaining spaces.
Layout Floor Plan,,1,,Slide Out Stacked Storage Bin Room,Big storage room filled with slide out big bin boxes that can easily labeled.,Slide Out Stacked Storage Bin Room - Big storage room filled with slide out big bin boxes that can easily labeled.
Layout Floor Plan,,1,,Dedicated Mudroom,"A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house.","Dedicated Mudroom - A space near the entrance for removing muddy shoes, hanging wet coats, and wiping down pets before entering the main house."
Layout Floor Plan,,1,,Efficient Easy Trash System,make taking out the trash easy and as quick as possible.,Efficient Easy Trash System - make taking out the trash easy and as quick as possible.
Layout Floor Plan,,1,,Bathrooms don’t face Large Rooms,Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.,Bathrooms don’t face Large Rooms - Bathrooms shouldn't face common entertainment spaces like dining rooms or living rooms.
Layout Floor Plan,,1,,Kitchen and Garage next to each other to push groceries through a small door,to stop you having to carry all the groceries through the house just have a little hidden door under a cupboard to slide in the groceries from the garage to the kitchen.,Kitchen and Garage next to each other to push groceries through a small door - to stop you having to carry all the groceries through the house just have a little hidden door under a cupboard to slide in the groceries from the garage to the kitchen.
Layout Floor Plan,,1,,Hidden Walk In Pantry,The door of the pantry just looks like a normal kitchen cupboard but actually goes way deeper to reveal a hidden walk in kitchen pantry,Hidden Walk In Pantry - The door of the pantry just looks like a normal kitchen cupboard but actually goes way deeper to reveal a hidden walk in kitchen pantry
Layout Floor Plan,,1,,Kitchen Opens to Living Room,Most people will like if the kitchen opens to the dining or living rooms so whoever is cooking can still interact with guests or keep an eye on the kids playing.,Kitchen Opens to Living Room - Most people will like if the kitchen opens to the dining or living rooms so whoever is cooking can still interact with guests or keep an eye on the kids playing.
Layout Floor Plan,,1,,Open Plan Houses Need Small Cosy Rooms,Although most of the house should be big open floor plan there should be a few small cosy bedrooms maybe in the roof of the house so some of the rooms feel cosy.,Open Plan Houses Need Small Cosy Rooms - Although most of the house should be big open floor plan there should be a few small cosy bedrooms maybe in the roof of the house so some of the rooms feel cosy.
Layout Floor Plan,,1,,"Secret Rooms, Hallways and Staircases","Behind a bookcase, secret ways to get around the houses. Places to hid in case of a home invasion.","Secret Rooms, Hallways and Staircases - Behind a bookcase, secret ways to get around the houses. Places to hid in case of a home invasion."
Layout Floor Plan,,1,,Back door not in line of front door,"Chinese Superstition says homes with a back door directly in line with the front door are bad luck. They are believed to have Chi come in only to have it go straight out the back door. Chinese superstitious want Chi to come into their homes, stay, and circulate throughout. The more positive energy, the better.","Back door not in line of front door - Chinese Superstition says homes with a back door directly in line with the front door are bad luck. They are believed to have Chi come in only to have it go straight out the back door. Chinese superstitious want Chi to come into their homes, stay, and circulate throughout. The more positive energy, the better."
Layout Floor Plan,,1,,Elevator,Place to put in a small elevator for when I get old and can’t walk up stairs,Elevator - Place to put in a small elevator for when I get old and can’t walk up stairs
Layout Floor Plan,,1,,Laundry Shoot,Tubes around the house you can easily throw your clothes in that take it straight to the laundry room.,Laundry Shoot - Tubes around the house you can easily throw your clothes in that take it straight to the laundry room.
Layout Floor Plan,,1,,Tower,,Tower
Layout Floor Plan,,1,,Washing Machine Near Drying Wracks,Even if you use the drying machine you might want to use drying wracks.,Washing Machine Near Drying Wracks - Even if you use the drying machine you might want to use drying wracks.
Layout Floor Plan,,1,,Gas Boiler in attic,Electric cooker and gas boiler should be in the attic to avoid carbon monoxide poisoning,Gas Boiler in attic - Electric cooker and gas boiler should be in the attic to avoid carbon monoxide poisoning
Layout Floor Plan,,1,,Sound Proof Laundry Room,"Laundry room should be sound proof and away from bedrooms or near the entertainment rooms, and should be out of site, and be able to stay warm in the winter to dry clothes","Sound Proof Laundry Room - Laundry room should be sound proof and away from bedrooms or near the entertainment rooms, and should be out of site, and be able to stay warm in the winter to dry clothes"
Layout Floor Plan,,1,,Artificial Skylights,especially on rooms with lots of interior walls or in basement room. This will make a really big difference to the feel of the rooms that. Even ones in the bed rooms might be nice when it’s a cloudy day.,Artificial Skylights - especially on rooms with lots of interior walls or in basement room. This will make a really big difference to the feel of the rooms that. Even ones in the bed rooms might be nice when it’s a cloudy day.
Layout Floor Plan,,1,,Big room for House Entrance space,Big Entrance Room to the house creates an Impressive impression for any visitors to the home.,Big room for House Entrance space - Big Entrance Room to the house creates an Impressive impression for any visitors to the home.
Layout Floor Plan,,1,,Built-In Safe Room,"– A small, reinforced hidden room for emergencies or security threats.","Built-In Safe Room - – A small, reinforced hidden room for emergencies or security threats."
Layout Floor Plan,,1,,Cupboards with Secret Door Ways,"A cupboard with a secret back, that can open up to networker secret passageways","Cupboards with Secret Door Ways - A cupboard with a secret back, that can open up to networker secret passageways"
Layout Floor Plan,,1,,Padded Silent Doors,all doors need the bedrooms need to be silent enough in order to not wake anyone up if someone needs to go to the toilet.,Padded Silent Doors - all doors need the bedrooms need to be silent enough in order to not wake anyone up if someone needs to go to the toilet.
Layout Floor Plan,,1,,Cinema room sound proof on all four walls and door,,Cinema room sound proof on all four walls and door
Layout Floor Plan,,1,,Ventilation and Airflow Between Rooms,it’s important for staying call and get rid of odours that there’s good ventilation.,Ventilation and Airflow Between Rooms - it’s important for staying call and get rid of odours that there’s good ventilation.
Layout Floor Plan,,1,,Wrap Around Covered Porch,for summer those days you want to sit out without getting totally sunburned. Or those days it’s raining but want to peak outside without getting wet.,Wrap Around Covered Porch - for summer those days you want to sit out without getting totally sunburned. Or those days it’s raining but want to peak outside without getting wet.
Layout Floor Plan,,1,,Super Charger in garage,Fast electric car charger,Super Charger in garage - Fast electric car charger
Design,,1,,Use the Golden Ratio Rule,,Use the Golden Ratio Rule
Design,,1,,Use the 60-30-10 rule for colour,,Use the 60-30-10 rule for colour
Every Room,,1,,High Ceilings,,High Ceilings
Every Room,,1,,Avoid Trip barriers beteeen floors,,Avoid Trip barriers beteeen floors
Every Room,,1,,Lots of natural light but also black out blinds or curtains,"I think high ceilings and lots of natural light makes the home feel so much brighter and improves our mood, but sometimes you want it darker for watching films or because it’s too sunny.","Lots of natural light but also black out blinds or curtains - I think high ceilings and lots of natural light makes the home feel so much brighter and improves our mood, but sometimes you want it darker for watching films or because it’s too sunny."
Every Room,,1,,Windows with built in insect nets blinds,Some windows should have built in insect mosquitoes nets that can be pulled down while also allowing you to open the window and let the fresh air in. The mosquitoes nets should be easy to pull down and apply but then also be easy to roll up and disappear when you want and uninterrupted view.,Windows with built in insect nets blinds - Some windows should have built in insect mosquitoes nets that can be pulled down while also allowing you to open the window and let the fresh air in. The mosquitoes nets should be easy to pull down and apply but then also be easy to roll up and disappear when you want and uninterrupted view.
Every Room,,1,,Hidden Storage,To make everything look a lot less cluttered I think hidden storage is key in every room.,Hidden Storage - To make everything look a lot less cluttered I think hidden storage is key in every room.
Every Room,,1,,No Creaky Floors,Creaky floors wake portions up a night,No Creaky Floors - Creaky floors wake portions up a night
Every Room,,1,,Trash Chutes,So we don’t have to carry dirty bin bags all round the house. It would be good if there were trash chutes near where they’re needed so we didn’t carry bags all around the house.,Trash Chutes - So we don’t have to carry dirty bin bags all round the house. It would be good if there were trash chutes near where they’re needed so we didn’t carry bags all around the house.
Every Room,,1,,Concealed Hidden Magnet Door Latch,To keep doors staying open and to not have a door latch sticking out out the floor or wall you could have a completely hidden magnet system in your door and floor to keep the door open.,Concealed Hidden Magnet Door Latch - To keep doors staying open and to not have a door latch sticking out out the floor or wall you could have a completely hidden magnet system in your door and floor to keep the door open.
Every Room,,1,,Skirting Board Heating,instead of radiators the heating could be hidden in the skirting board.,Skirting Board Heating - instead of radiators the heating could be hidden in the skirting board.
Every Room,,1,,Anti-Bacterial Surfaces in Bathrooms and Kitchen,"– Use surfaces with anti-bacterial properties for sinks, counters, and floors.","Anti-Bacterial Surfaces in Bathrooms and Kitchen - – Use surfaces with anti-bacterial properties for sinks, counters, and floors."
Every Room,,1,,All drinking taps must have the best water filter system you can get,water can have plastic and other harmful chemicals and particles in.,All drinking taps must have the best water filter system you can get - water can have plastic and other harmful chemicals and particles in.
Every Room,,1,,Extremely Fast Wi-Fi,Slow Wi-Fi is the worst.,Extremely Fast Wi-Fi - Slow Wi-Fi is the worst.
Every Room,,1,,Mains Wired Motion Sensor Lights in Cupboards,it’s always a pain when you have to go around each battery operated and recharge it and then put it back. It would much better if all the small motions sensor lights in the cupboards were also plugged into the mains supply.,Mains Wired Motion Sensor Lights in Cupboards - it’s always a pain when you have to go around each battery operated and recharge it and then put it back. It would much better if all the small motions sensor lights in the cupboards were also plugged into the mains supply.
Every Room,,1,,Hidden Charging Stations in Every Room,Built-in charging docks in drawers or cupboards to keep devices powered without visible clutter.,Hidden Charging Stations in Every Room - Built-in charging docks in drawers or cupboards to keep devices powered without visible clutter.
Every Room,,1,,High Ceilings,I think high ceilings are what makes an upper class house feel upper class. Makes it feel more open and grand.,High Ceilings - I think high ceilings are what makes an upper class house feel upper class. Makes it feel more open and grand.
Every Room,,1,,Heated Skirting Boards,Instead of radiators or air vents you should use heated skirted board for more space and more even heating.,Heated Skirting Boards - Instead of radiators or air vents you should use heated skirted board for more space and more even heating.
Every Room,,1,,Lots of Plug Sockets - We live in a tech driven world. We will probably want not issue of not having enough tidy plugs to power our electronics.,,Lots of Plug Sockets - We live in a tech driven world. We will probably want not issue of not having enough tidy plugs to power our electronics.
Every Room,,1,,Good air conditioning!,Good air conditioning in all the rooms especially the ones we spend the most time in and bedrooms,Good air conditioning! - Good air conditioning in all the rooms especially the ones we spend the most time in and bedrooms
Every Room,,1,,Soft-Close Cabinet and Drawer Mechanisms,Prevent little fingers from getting trapped with soft-close hinges on all cabinets and drawers.,Soft-Close Cabinet and Drawer Mechanisms - Prevent little fingers from getting trapped with soft-close hinges on all cabinets and drawers.
Every Room,,1,,Top of Furniture Connected To Wall,"To stop kids combing and toppling over furniture, it should be secured to the wall to stop that occurring.","Top of Furniture Connected To Wall - To stop kids combing and toppling over furniture, it should be secured to the wall to stop that occurring."
Every Room,,1,,Air Quality Monitoring and Purification System,Real-time air quality sensors paired with smart air purifiers to maintain optimal indoor air health.,Air Quality Monitoring and Purification System - Real-time air quality sensors paired with smart air purifiers to maintain optimal indoor air health.
Every Room,,1,,Plug sockets inside drawers,plugs sockets inside draws so you can hide away our charging devices and cables for your battery pack or camera charger,Plug sockets inside drawers - plugs sockets inside draws so you can hide away our charging devices and cables for your battery pack or camera charger
Every Room,,1,,Magnetic Insect Nets on Windows,"Windows that you can magnetically attach insect tight mosquito nets too, so you can open the window wide if your hot and not have to worry about insects coming in.","Magnetic Insect Nets on Windows - Windows that you can magnetically attach insect tight mosquito nets too, so you can open the window wide if your hot and not have to worry about insects coming in."
Every Room,,1,,Built In Door Stops Openers,A door holder opener for almost every door. Door stops to stop holes in the walls,Built In Door Stops Openers - A door holder opener for almost every door. Door stops to stop holes in the walls
Every Room,,1,,Big Windows and Ceiling Windows,Lots of windows for natural light and maybe roof windows,Big Windows and Ceiling Windows - Lots of windows for natural light and maybe roof windows
Every Room,,1,,Cupboards up to the Ceiling,Cupboard that you can’t things on top on because it reaches to the ceiling. This also means dust won’t build up on the top of cupboards.,Cupboards up to the Ceiling - Cupboard that you can’t things on top on because it reaches to the ceiling. This also means dust won’t build up on the top of cupboards.
Every Room,,1,,Hand Held Vacuum Cleaners in Every Room,Should be constantly on charge when not in use,Hand Held Vacuum Cleaners in Every Room - Should be constantly on charge when not in use
Every Room,,1,,Child-Safe Window Latches,Windows with safety latches that prevent them from opening wide enough for a child to fall through.,Child-Safe Window Latches - Windows with safety latches that prevent them from opening wide enough for a child to fall through.
Every Room,,1,,Automatic Opening Bins,These should be attached to the mains if possible so we’re not constantly having to change and charge the batteries.,Automatic Opening Bins - These should be attached to the mains if possible so we’re not constantly having to change and charge the batteries.
Every Room,,1,,Taps should not be too close to the sink edge,There should be lots of room to wash hands without it touching the rest of the sink even at low power.,Taps should not be too close to the sink edge - There should be lots of room to wash hands without it touching the rest of the sink even at low power.
Every Room,,1,,Scented Rooms,Scented items in the bedroom and in the main rooms.,Scented Rooms - Scented items in the bedroom and in the main rooms.
Every Room,,1,,Motion Sensor Lights in Cupboards,for big cupboards and pantry and under the stairs cupboard all connected to the mains not battery operated.,Motion Sensor Lights in Cupboards - for big cupboards and pantry and under the stairs cupboard all connected to the mains not battery operated.
Every Room,,1,,Carbon Monoxide Alarm,,Carbon Monoxide Alarm
Every Room,,1,,Fire Alarm,And fire blankets and fire extinguishers. Even in the bed room where a hair straightener might catch fire.,Fire Alarm - And fire blankets and fire extinguishers. Even in the bed room where a hair straightener might catch fire.
Every Room,,1,,Vacuum Cleaner Robot,One that can learn the layout of the house.,Vacuum Cleaner Robot - One that can learn the layout of the house.
Every Room,,1,,Separate Blackout Curtains,Second layer of blackout curtains everywhere,Separate Blackout Curtains - Second layer of blackout curtains everywhere
Every Room,,1,,Mood Lighting,"That’s easy to fix if it breaks, and easy to link to a smart speaker","Mood Lighting - That’s easy to fix if it breaks, and easy to link to a smart speaker"
Every Room,,1,,Under Floor Heating,Keep your feet warm in the winter,Under Floor Heating - Keep your feet warm in the winter
Every Room,,1,,Slip-Resistant Flooring in Wet Areas,"Bathroom, kitchen, and entryway floors designed with anti-slip surfaces to reduce accidents.","Slip-Resistant Flooring in Wet Areas - Bathroom, kitchen, and entryway floors designed with anti-slip surfaces to reduce accidents."
Every Room,,1,,Artificial Skylights,Makes a real difference even on rainy days,Artificial Skylights - Makes a real difference even on rainy days
Every Room,,1,,Intercom System or Alexa,For when you need to announce it’s dinner time,Intercom System or Alexa - For when you need to announce it’s dinner time
Every Room,,1,,Smart Lights,Easy to connect to a smart speaker and capable of changing colours for parties.,Smart Lights - Easy to connect to a smart speaker and capable of changing colours for parties.
Every Room,,1,,Air Purifiers,Clean air is important for good health and sleep quality,Air Purifiers - Clean air is important for good health and sleep quality
Every Room,,1,,Hidden speakers in every room,Connected speaks that make it easy to play music with a high quality sound where ever you are in the house.,Hidden speakers in every room - Connected speaks that make it easy to play music with a high quality sound where ever you are in the house.
Every Room,,1,,Fire Sprinklers,To Diffuse a fire,Fire Sprinklers - To Diffuse a fire
Every Room,,1,,Fire Proof Doors,to compartmentalise a fire.,Fire Proof Doors - to compartmentalise a fire.
Every Room,,1,,Smart Water Leak Sensors,"Install sensors in bathrooms, kitchens, and laundry rooms to detect water leaks early and prevent damage.","Smart Water Leak Sensors - Install sensors in bathrooms, kitchens, and laundry rooms to detect water leaks early and prevent damage."
Rooms Names,,1,,Bedroom x 3,,Bedroom x 3
Rooms Names,,1,,Kitchen,,Kitchen
Rooms Names,,1,,Playroom,,Playroom
Rooms Names,,1,,Study,,Study
Rooms Names,,1,,Tower,,Tower
Rooms Names,,1,,Living room / lounge,,Living room / lounge
Rooms Names,,1,,Caught yard,,Caught yard
Rooms Names,,1,,Gym,,Gym
Rooms Names,,1,,Toy / play room (Next to kitchen),,Toy / play room (Next to kitchen)
Rooms Names,,1,,Lego Gallery room (display all mine and my fathers Lego models),,Lego Gallery room (display all mine and my fathers Lego models)
Rooms Names,,1,,Video Game room,,Video Game room
Rooms Names,,1,,Bathroom,,Bathroom
Rooms Names,,1,,Cloak room,,Cloak room
Rooms Names,,1,,Pantry,,Pantry
Rooms Names,,1,,Utility room,,Utility room
Rooms Names,,1,,Roof garden,,Roof garden
Rooms Names,,1,,Library,,Library
Rooms Names,,1,,Conservatory,,Conservatory
Rooms Names,,1,,Hall,,Hall
Rooms Names,,1,,Cinema,,Cinema
Rooms Names,,1,,Security room,,Security room
Rooms Names,,1,,Personal assistant living area,,Personal assistant living area
Rooms Names,,1,,Tardis Interior,,Tardis Interior
Rooms Names,,1,,Workshop,,Workshop
Rooms Names,,1,,Safe Room,,Safe Room
Rooms Names,,1,,Green screen room,,Green screen room
Rooms Names,,1,,Smooth white white bright room for filming,,Smooth white white bright room for filming
Rooms Names,,1,,Laundry room,,Laundry room
Rooms Names,,1,,Indoor horse riding area a,,Indoor horse riding area a
Rooms Names,,1,,Barber room,,Barber room
Stairs,,1,,Elevator,Place to put in a small elevator for when I get old and can’t walk up stairs,Elevator - Place to put in a small elevator for when I get old and can’t walk up stairs
Stairs,,1,,Hidden Dog Gate,Dog gate that can be pushed into the wall and look like there’s no gate at all.,Hidden Dog Gate - Dog gate that can be pushed into the wall and look like there’s no gate at all.
Stairs,,1,,Perfectly Sized Stairs,Stairs that are perfectly that are the right size and reduces tripping,Perfectly Sized Stairs - Stairs that are perfectly that are the right size and reduces tripping
Stairs,,1,,Carpeted Stairs are Less Slippy,Carpeted stairs so dogs don’t slip on them,Carpeted Stairs are Less Slippy - Carpeted stairs so dogs don’t slip on them
Stairs,,1,,Motion Sensor Lights,Automatic motion detector lights under the lip of the stairs (so you don’t trip down the stairs at night.,Motion Sensor Lights - Automatic motion detector lights under the lip of the stairs (so you don’t trip down the stairs at night.
Stairs,,1,,Full Size Hidden Slide,There should be a classy fashionable good looking indoor slide hidden from the main staircase,Full Size Hidden Slide - There should be a classy fashionable good looking indoor slide hidden from the main staircase
Stairs,,1,,Staircase Safety Gates,"Stylish, retractable gates at the top and bottom of staircases to prevent unsupervised climbing or falls.","Staircase Safety Gates - Stylish, retractable gates at the top and bottom of staircases to prevent unsupervised climbing or falls."
Kitchen,,1,,Medicine Box Easy to Get To,For when you cut yourself cooking or burn yourself while cooking.,Medicine Box Easy to Get To - For when you cut yourself cooking or burn yourself while cooking.
Kitchen,,1,,Place To Hang Up Washing Gloves,Washing Gloves Hooo,Place To Hang Up Washing Gloves - Washing Gloves Hooo
